Milestone ID;Shipment ID;Milestone Sequence;Milestone Type;Planned Datetime;Actual Datetime;Milestone Status;Updated By;Update Notes;Update Timestamp
MS001077;SHP0108;7;Vessel Departure;29/02/24;29/02/24 12.00;Delayed;Indah Permata;Gate in completed before cut off;02/03/24 12.00
MS001078;SHP0108;8;Port Arrival;02/03/24;02/03/24 12.00;Delayed;Daniel Hartono;Shipment delivered successfully;05/03/24 12.00
MS001079;SHP0108;9;Customs Clearance;05/03/24;05/03/24 12.00;Completed;Andi Pratama;Carrier confirmed revised ETA;19/03/24 12.00
MS001080;SHP0108;10;Delivered;09/03/24;09/03/24 12.00;Delayed;Jessica Putri;Container dispatched to customer site;10/03/24 12.00
MS001081;SHP0109;1;Cargo Ready;14/01/24;14/01/24 08.00;Completed;Kevin Halim;Inspection completed successfully;15/01/24 08.00
MS001082;SHP0109;2;Booking Confirmed;18/01/24;18/01/24 08.00;Delayed;Cindy Wijaya;Export filing accepted;
MS001083;SHP0109;3;Empty Container Pickup;22/01/24;22/01/24 00.00;Completed;Maya Putri;ETD achieved successfully;23/01/24 00.00
MS001084;SHP0109;4;Cargo Loading;24/01/24;24/01/24 12.00;Delayed;Budi Santoso;Release order issued;26/01/24 12.00
MS001085;SHP0109;5;Gate In;25/01/24;25/01/24 08.00;Delayed;Andi Pratama;Cargo available for dispatch;26/01/24 08.00
MS001086;SHP0109;6;Documentation Complete;28/01/24;28/01/24 12.00;Completed;Dimas Saputra;Terminal discharge completed;28/01/24 12.00
MS001087;SHP0109;7;Vessel Departure;31/01/24;31/01/24 12.00;Delayed;Andi Pratama;Carrier allocated vessel space;02/02/24 12.00
MS001088;SHP0109;8;Port Arrival;01/02/24;03/02/24 00.00;Delayed;Rizky Kurniawan;Container gated in successfully;06/02/24 00.00
MS001089;SHP0109;9;Customs Clearance;03/02/24;03/02/24 12.00;Completed;Dimas Saputra;Customer confirmed cargo readiness;06/02/24 12.00
MS001090;SHP0109;10;Delivered;06/02/24;06/02/24 00.00;Completed;Andi Pratama;Port arrival confirmed;
MS001091;SHP0110;1;Cargo Ready;27/02/24;29/02/24 00.00;Delayed;Maya Putri;Cargo available for dispatch;29/02/24 00.00
MS001092;SHP0110;2;Booking Confirmed;29/02/24;29/02/24 12.00;Delayed;Rafi Kurnia;Loading operation finalized;01/03/24 12.00
MS001093;SHP0110;3;Empty Container Pickup;04/03/24;04/03/24 12.00;Delayed;Rizky Kurniawan;VGM submitted successfully;06/03/24 12.00
MS001094;SHP0110;4;Cargo Loading;08/03/24;08/03/24 02.00;Completed;Cindy Wijaya;Vessel departed as scheduled;22/03/24 02.00
MS001095;SHP0110;5;Gate In;09/03/24;09/03/24 12.00;Delayed;Kevin Halim;Port arrival confirmed;19/03/24 12.00
MS001096;SHP0110;6;Documentation Complete;11/03/24;11/03/24 12.00;Completed;Fajar Nugroho;Customs declaration completed;
MS001097;SHP0110;7;Vessel Departure;12/03/24;12/03/24 00.00;Completed;Kevin Halim;Cargo inspection completed;14/03/24 00.00
MS001098;SHP0110;8;Port Arrival;14/03/24;16/03/24 00.00;Delayed;Budi Santoso;Port arrival confirmed;18/03/24 00.00
MS001099;SHP0110;9;Customs Clearance;17/03/24;17/03/24 12.00;Completed;Indah Permata;Shipment delivered successfully;19/03/24 12.00
MS001100;SHP0110;10;Delivered;20/03/24;20/03/24 00.00;Completed;Daniel Hartono;Operational note variation 80;22/03/24 00.00
MS001101;SHP0111;1;Cargo Ready;25/01/24;25/01/24 12.00;Delayed;Kevin Halim;Berthing completed;26/01/24 12.00
MS001102;SHP0111;2;Booking Confirmed;26/01/24;28/01/24 00.00;Delayed;Maya Putri;Empty container collected from depot;30/01/24 00.00
MS001103;SHP0111;3;Empty Container Pickup;30/01/24;30/01/24 04.00;Completed;Daniel Hartono;Carrier booking validated;31/01/24 04.00
MS001104;SHP0111;4;Cargo Loading;01/02/24;01/02/24 12.00;Completed;Dimas Saputra;Customs review finalized;04/02/24 12.00
MS001105;SHP0111;5;Gate In;02/02/24;02/02/24 12.00;Completed;Cindy Wijaya;Gate in completed before cut off;03/02/24 12.00
MS001106;SHP0111;6;Documentation Complete;06/02/24;06/02/24 04.00;DELAYED;Kevin Halim;Shipment delivered successfully;09/02/24 04.00
MS001107;SHP0111;7;Vessel Departure;07/02/24;07/02/24 02.00;Delayed;Indah Permata;Cargo inspection completed;07/02/24 02.00
MS001108;SHP0111;8;Port Arrival;10/02/24;10/02/24 12.00;Completed;Andi Pratama;Container stuffing completed;11/02/24 12.00
MS001109;SHP0111;9;Customs Clearance;12/02/24;12/02/24 04.00;Completed;Budi Santoso;Loading preparation finalized;13/02/24 04.00
MS001110;SHP0111;10;Delivered;14/02/24;14/02/24 12.00;Delayed;Maya Putri;Final delivery confirmed;27/02/24 12.00
MS001111;SHP0112;1;Cargo Ready;01/05/24;03/05/24 00.00;Delayed;Dimas Saputra;Cargo loaded successfully;04/05/24 00.00
MS001112;SHP0112;2;Booking Confirmed;05/05/24;05/05/24 12.00;Delayed;Dimas Saputra;Container dispatched to customer site;05/05/24 12.00
MS001113;SHP0112;3;Empty Container Pickup;07/05/24;09/05/24 00.00;Delayed;Daniel Hartono;Proof of delivery received;10/05/24 00.00
MS001114;SHP0112;4;Cargo Loading;10/05/24;10/05/24 12.00;Completed;Indah Permata;Customs declaration completed;11/05/24 12.00
MS001115;SHP0112;5;Gate In;13/05/24;13/05/24 08.00;Delayed;Daniel Hartono;ETD achieved successfully;14/05/24 08.00
MS001116;SHP0112;6;Documentation Complete;14/05/24;14/05/24 12.00;Delayed;;Port entry confirmed;17/05/24 12.00
MS001117;SHP0112;7;Vessel Departure;16/05/24;16/05/24 00.00;Completed;Budi Santoso;Carrier accepted booking request;27/05/24 00.00
MS001118;SHP0112;8;Port Arrival;17/05/24;17/05/24 12.00;Delayed;Cindy Wijaya;Terminal discharge completed;26/05/24 12.00
MS001119;SHP0112;9;Customs Clearance;18/05/24;19/05/24 12.00;Delayed;Fajar Nugroho;Gate in completed before cut off;20/05/24 12.00
MS001120;SHP0112;10;Delivered;19/05/24;20/05/24 00.00;Completed;Fajar Nugroho;Docs submitted;22/05/24 00.00
MS001121;SHP0113;1;Cargo Ready;01/08/24;01/08/24 00.00;Completed;Andi Pratama;Final milestone completed;04/08/24 00.00
MS001122;SHP0113;2;Booking Confirmed;03/08/24;03/08/24 12.00;Delayed;Maya Putri;Customer confirmed cargo readiness;04/08/24 12.00
MS001123;SHP0113;3;Empty Container Pickup;04/08/24;04/08/24 00.00;Completed;Rizky Kurniawan;Gate in completed before cut off;05/08/24 00.00
MS001124;SHP0113;4;Cargo Loading;08/08/24;08/08/24 12.00;DELAYED;Budi Santoso;Carrier allocated vessel space;17/08/24 12.00
MS001125;SHP0113;5;Gate In;11/08/24;11/08/24 12.00;completed;Daniel Hartono;Cust confirmation received;11/08/24 12.00
MS001126;SHP0113;6;Documentation Complete;12/08/24;12/08/24 12.00;Completed;Dimas Saputra;Departure confirmation received;12/08/24 12.00
MS001127;SHP0113;7;Vessel Departure;13/08/24;13/08/24 04.00;Delayed;Budi Santoso;Carrier allocated vessel space;15/08/24 04.00
MS001128;SHP0113;8;Port Arrival;14/08/24;14/08/24 12.00;Delayed;Maya Putri;Operational note variation 80;15/08/24 12.00
MS001129;SHP0113;9;Customs Clearance;15/08/24;15/08/24 12.00;Delayed;Sarah Amelia;Final milestone completed;18/08/24 12.00
MS001130;SHP0113;10;Delivered;19/08/24;19/08/24 02.00;Completed;Indah Permata;Container stuffing completed;22/08/24 02.00
MS001131;SHP0114;1;Cargo Ready;06/02/24;06/02/24 00.00;Completed;Indah Permata;Shipping documents verified;07/02/24 00.00
MS001132;SHP0114;2;Booking Confirmed;10/02/24;10/02/24 04.00;Delayed;Cindy Wijaya;Container received for loading;10/02/24 04.00
MS001133;SHP0114;3;Empty Container Pickup;13/02/24;13/02/24 00.00;Completed;Indah Permata;Cargo cleared for release;
MS001134;SHP0114;4;Cargo Loading;14/02/24;14/02/24 12.00;Delayed;Fajar Nugroho;Carrier accepted booking request;17/02/24 12.00
MS001135;SHP0114;5;Gate In;17/02/24;17/02/24 12.00;Completed;Jessica Putri;Container received for loading;19/02/24 12.00
MS001136;SHP0114;6;Documentation Complete;21/02/24;21/02/24 02.00;Completed;Andi Pratama;Depot release completed;21/02/24 02.00
MS001137;SHP0114;7;Vessel Departure;23/02/24;23/02/24 02.00;Delayed;Budi Santoso;Carrier confirmed vessel arrival;23/02/24 02.00
MS001138;SHP0114;8;Port Arrival;27/02/24;28/02/24 00.00;Delayed;Kevin Halim;Shpt status updated;01/03/24 00.00
MS001139;SHP0114;9;Customs Clearance;02/03/24;02/03/24 12.00;Completed;Dimas Saputra;Final delivery confirmed;04/03/24 12.00
MS001140;SHP0114;10;Delivered;03/03/24;05/03/24 00.00;Delayed;Cindy Wijaya;Booking reference received;06/03/24 00.00
MS001141;SHP0115;1;Cargo Ready;18/01/24;18/01/24 02.00;Completed;Fajar Nugroho;Booking reference received;19/01/24 02.00
MS001142;SHP0115;2;Booking Confirmed;19/01/24;19/01/24 04.00;Completed;Jessica Putri;Transit milestone verified;21/01/24 04.00
MS001143;SHP0115;3;Empty Container Pickup;20/01/24;20/01/24 00.00;Completed;Andi Pratama;Proof of delivery received;22/01/24 00.00
MS001144;SHP0115;4;Cargo Loading;21/01/24;21/01/24 02.00;Completed;Budi Santoso;Carrier booking validated;23/01/24 02.00
MS001145;SHP0115;5;Gate In;24/01/24;24/01/24 12.00;Completed;Kevin Halim;Carrier allocated vessel space;27/01/24 12.00
MS001146;SHP0115;6;Documentation Complete;25/01/24;25/01/24 02.00;Completed;Budi Santoso;Carrier schedule update received;25/01/24 02.00
MS001147;SHP0115;7;Vessel Departure;29/01/24;29/01/24 00.00;Completed;Fajar Nugroho;Carrier confirmed vessel departure;31/01/24 00.00
MS001148;SHP0115;8;Port Arrival;31/01/24;31/01/24 12.00;Completed;Andi Pratama;Carrier confirmed revised ETA;01/02/24 12.00
MS001149;SHP0115;9;Customs Clearance;02/02/24;02/02/24 12.00;Delayed;Andi Pratama;Departure confirmation received;12/02/24 12.00
MS001150;SHP0115;10;Delivered;06/02/24;06/02/24 00.00;Completed;Maya Putri;VGM submitted successfully;09/02/24 00.00
MS001151;SHP0116;1;Cargo Ready;24/01/24;24/01/24 00.00;Completed;Andi Pratama;Port entry confirmed;26/01/24 00.00
MS001152;SHP0116;2;Booking Confirmed;26/01/24;26/01/24 02.00;Completed;Daniel Hartono;Container available for pickup;26/01/24 02.00
MS001153;SHP0116;3;Empty Container Pickup;30/01/24;01/02/24 00.00;Delayed;Nadia Prasetyo;Carrier confirmed vessel arrival;04/02/24 00.00
MS001154;SHP0116;4;Cargo Loading;31/01/24;01/02/24 04.00;Delayed;Budi Santoso;Container available for pickup;01/02/24 04.00
MS001155;SHP0116;5;Gate In;01/02/24;01/02/24 16.00;Delayed;Dimas Saputra;Container accepted by terminal;02/02/24 16.00
MS001156;SHP0116;6;Documentation Complete;02/02/24;02/02/24 12.00;Delayed;Indah Permata;Clearance approval received;03/02/24 12.00
MS001157;SHP0116;7;Vessel Departure;03/02/24;03/02/24 00.00;Completed;Indah Permata;Consignee notified of arrival;03/02/24 00.00
MS001158;SHP0116;8;Port Arrival;06/02/24;06/02/24 12.00;Completed;Budi Santoso;Loading operation finalized;09/02/24 12.00
MS001159;SHP0116;9;Customs Clearance;10/02/24;10/02/24 12.00;Delayed;Rafi Kurnia;Cargo handed over to consignee;10/02/24 12.00
MS001160;SHP0116;10;Delivered;14/02/24;14/02/24 08.00;Completed;Fajar Nugroho;Vessel allocation confirmed;15/02/24 08.00
MS001161;SHP0117;1;Cargo Ready;20/05/24;20/05/24 12.00;Completed;Fajar Nugroho;Departure confirmation received;20/05/24 12.00
MS001162;SHP0117;2;Booking Confirmed;22/05/24;22/05/24 12.00;Delayed;Fajar Nugroho;AFR submitted successfully;25/05/24 12.00
MS001163;SHP0117;3;Empty Container Pickup;26/05/24;26/05/24 12.00;Delayed;Fajar Nugroho;Berthing completed;29/05/24 12.00
MS001164;SHP0117;4;Cargo Loading;30/05/24;31/05/24 00.00;Delayed;Fajar Nugroho;Empty container collected from depot;
MS001165;SHP0117;5;Gate In;31/05/24;31/05/24 12.00;Delayed;Fajar Nugroho;Carrier allocated vessel space;31/05/24 12.00
MS001166;SHP0117;6;Documentation Complete;01/06/24;04/06/24 00.00;Delayed;Sarah Amelia;Operational update recorded;04/06/24 00.00
MS001167;SHP0117;7;Vessel Departure;04/06/24;04/06/24 12.00;Completed;Cindy Wijaya;Container gated in successfully;05/06/24 12.00
MS001168;SHP0117;8;Port Arrival;08/06/24;08/06/24 08.00;Delayed;Dimas Saputra;Customer confirmed cargo readiness;21/06/24 08.00
MS001169;SHP0117;9;Customs Clearance;11/06/24;11/06/24 12.00;Delayed;Indah Permata;AFR submitted successfully;14/06/24 12.00
MS001170;SHP0117;10;Delivered;12/06/24;12/06/24 12.00;Completed;Maya Putri;Container stuffing completed;12/06/24 12.00
MS001171;SHP0118;1;Cargo Ready;26/03/24;26/03/24 12.00;Delayed;Budi Santoso;Delivery appointment confirmed;09/04/24 12.00
MS001172;SHP0118;2;Booking Confirmed;29/03/24;31/03/24 00.00;Delayed;Sarah Amelia;Documentaion approved;31/03/24 00.00
MS001173;SHP0118;3;Empty Container Pickup;31/03/24;31/03/24 12.00;Completed;Maya Putri;Loading preparation finalized;03/04/24 12.00
MS001174;SHP0118;4;Cargo Loading;01/04/24;01/04/24 12.00;Completed;Indah Permata;Final delivery confirmed;03/04/24 12.00
MS001175;SHP0118;5;Gate In;02/04/24;02/04/24 04.00;Completed;Andi Pratama;Cargo cleared for release;05/04/24 04.00
MS001176;SHP0118;6;Documentation Complete;04/04/24;04/04/24 12.00;Delayed;Fajar Nugroho;Clearance approval received;07/04/24 12.00
MS001177;SHP0118;7;Vessel Departure;06/04/24;08/04/24 00.00;delayed;Sarah Amelia;Departure confirmation received;10/04/24 00.00
MS001178;SHP0118;8;Port Arrival;09/04/24;11/04/24 00.00;Delayed;Cindy Wijaya;Container available for pickup;12/04/24 00.00
MS001179;SHP0118;9;Customs Clearance;12/04/24;15/04/24 00.00;COMPLETED;Andi Pratama;Shipment status updated to in transit;18/04/24 00.00
MS001180;SHP0118;10;Delivered;13/04/24;15/04/24 12.00;Delayed;Budi Santoso;Vessel left origin port;17/04/24 12.00
MS001181;SHP0119;1;Cargo Ready;06/06/24;07/06/24 00.00;Completed;Budi Santoso;Commercial invoice verified;09/06/24 00.00
MS001182;SHP0119;2;Booking Confirmed;07/06/24;07/06/24 12.00;Completed;Andi Pratama;Documentation approved;07/06/24 12.00
MS001183;SHP0119;3;Empty Container Pickup;10/06/24;10/06/24 02.00;Delayed;Daniel Hartono;Sailing schedule confirmed;12/06/24 02.00
MS001184;SHP0119;4;Cargo Loading;14/06/24;14/06/24 00.00;Completed;Fajar Nugroho;Carrier confirmed vessel arrival;16/06/24 00.00
MS001185;SHP0119;5;Gate In;15/06/24;15/06/24 12.00;Delayed;Andi Pratama;Vessel allocation confirmed;17/06/24 12.00
MS001186;SHP0119;6;Documentation Complete;18/06/24;18/06/24 12.00;PENDING;Kevin Halim;Inspection completed successfully;21/06/24 12.00
MS001187;SHP0119;7;Vessel Departure;20/06/24;20/06/24 12.00;Completed;Daniel Hartono;Container allocation confirmed;22/06/24 12.00
MS001188;SHP0119;8;Port Arrival;23/06/24;25/06/24 00.00;Delayed;Cindy Wijaya;Cargo cleared for release;27/06/24 00.00
MS001189;SHP0119;9;Customs Clearance;27/06/24;29/06/24 00.00;Delayed;Maya Putri;Departure confirmation received;29/06/24 00.00
MS001190;SHP0119;10;Delivered;29/06/24;29/06/24 12.00;Delayed;Andi Pratama;Release documentation approved;29/06/24 12.00
MS001191;SHP0120;1;Cargo Ready;11/04/24;11/04/24 12.00;Completed;Andi Pratama;Container sealed after loading;12/04/24 12.00
MS001192;SHP0120;2;Booking Confirmed;12/04/24;12/04/24 12.00;Completed;Maya Putri;Loading operation finalized;15/04/24 12.00
MS001193;SHP0120;3;Empty Container Pickup;14/04/24;14/04/24 00.00;Completed;Fajar Nugroho;VGM submitted successfully;17/04/24 00.00
MS001194;SHP0120;4;Cargo Loading;17/04/24;17/04/24 02.00;Completed;Dimas Saputra;Carrier booking validated;19/04/24 02.00
MS001195;SHP0120;5;Gate In;18/04/24;18/04/24 12.00;Completed;Dimas Saputra;Final milestone completed;18/04/24 12.00
MS001196;SHP0120;6;Documentation Complete;20/04/24;20/04/24 12.00;completed;Sarah Amelia;Departure confirmation received;23/04/24 12.00
MS001197;SHP0120;7;Vessel Departure;24/04/24;24/04/24 12.00;Delayed;Indah Permata;Berthing completed;02/05/24 12.00
MS001198;SHP0120;8;Port Arrival;27/04/24;27/04/24 12.00;Completed;Indah Permata;Booking reference received;28/04/24 12.00
MS001199;SHP0120;9;Customs Clearance;29/04/24;29/04/24 12.00;Delayed;Fajar Nugroho;VGM submitted successfully;02/05/24 12.00
MS001200;SHP0120;10;Delivered;03/05/24;03/05/24 08.00;Delayed;Andi Pratama;Container dispatched to customer site;03/05/24 08.00
MS001201;SHP0121;1;Cargo Ready;07/01/24;07/01/24 12.00;Completed;Dimas Saputra;Carrier confirmed revised ETA;09/01/24 12.00
MS001202;SHP0121;2;Booking Confirmed;10/01/24;11/01/24 00.00;Completed;Nadia Prasetyo;Packing list confirmed;14/01/24 00.00
MS001203;SHP0121;3;Empty Container Pickup;13/01/24;13/01/24 00.00;Completed;Andi Pratama;Port entry confirmed;26/01/24 00.00
MS001204;SHP0121;4;Cargo Loading;15/01/24;15/01/24 04.00;Delayed;Andi Pratama;Export filing accepted;15/01/24 04.00
MS001205;SHP0121;5;Gate In;16/01/24;16/01/24 04.00;Completed;Cindy Wijaya;Operational note variation 80;19/01/24 04.00
MS001206;SHP0121;6;Documentation Complete;18/01/24;18/01/24 00.00;Completed;Daniel Hartono;Cargo loaded successfully;18/01/24 00.00
MS001207;SHP0121;7;Vessel Departure;19/01/24;19/01/24 12.00;Delayed;Rizky Kurniawan;AFR submitted successfully;20/01/24 12.00
MS001208;SHP0121;8;Port Arrival;22/01/24;22/01/24 12.00;Completed;Daniel Hartono;Container ready for gate in;31/01/24 12.00
MS001209;SHP0121;9;Customs Clearance;26/01/24;26/01/24 12.00;Completed;Andi Pratama;Container available for pickup;29/01/24 12.00
MS001210;SHP0121;10;Delivered;30/01/24;30/01/24 12.00;Delayed;Maya Putri;Cargo cleared for release;30/01/24 12.00
MS001211;SHP0122;1;Cargo Ready;08/06/24;08/06/24 04.00;Delayed;Dimas Saputra;Cargo inspection completed;11/06/24 04.00
MS001212;SHP0122;2;Booking Confirmed;12/06/24;12/06/24 04.00;Delayed;Andi Pratama;Depot release completed;14/06/24 04.00
MS001213;SHP0122;3;Empty Container Pickup;15/06/24;15/06/24 00.00;Completed;Nadia Prasetyo;Carrier allocated vessel space;18/06/24 00.00
MS001214;SHP0122;4;Cargo Loading;18/06/24;18/06/24 00.00;Completed;Cindy Wijaya;Delivery completed;
MS001215;SHP0122;5;Gate In;19/06/24;19/06/24 12.00;Delayed;Cindy Wijaya;Pickup completed successfully;21/06/24 12.00
MS001216;SHP0122;6;Documentation Complete;20/06/24;22/06/24 00.00;Delayed;Maya Putri;Cargo cleared for release;22/06/24 00.00
MS001217;SHP0122;7;Vessel Departure;23/06/24;23/06/24 02.00;Delayed;Dimas Saputra;Final delivery confirmed;25/06/24 02.00
MS001218;SHP0122;8;Port Arrival;27/06/24;27/06/24 12.00;delayed;Rizky Kurniawan;Carrier allocated vessel space;28/06/24 12.00
MS001219;SHP0122;9;Customs Clearance;28/06/24;28/06/24 12.00;Delayed;Daniel Hartono;Consignee notified of arrival;29/06/24 12.00
MS001220;SHP0122;10;Delivered;30/06/24;30/06/24 08.00;Delayed;Budi Santoso;Port entry confirmed;30/06/24 08.00
MS001221;SHP0123;1;Cargo Ready;10/04/24;12/04/24 00.00;Delayed;Rizky Kurniawan;Customer acknowledged receipt;14/04/24 00.00
MS001222;SHP0123;2;Booking Confirmed;14/04/24;14/04/24 04.00;Completed;Cindy Wijaya;Inspection completed successfully;16/04/24 04.00
MS001223;SHP0123;3;Empty Container Pickup;15/04/24;15/04/24 08.00;Delayed;Cindy Wijaya;Shipment arrived as planned;15/04/24 08.00
MS001224;SHP0123;4;Cargo Loading;16/04/24;16/04/24 12.00;Delayed;Indah Permata;Depot release completed;16/04/24 12.00
MS001225;SHP0123;5;Gate In;18/04/24;18/04/24 12.00;Completed;Michael Gunawan;Loading preparation finalized;19/04/24 12.00
MS001226;SHP0123;6;Documentation Complete;19/04/24;21/04/24 00.00;Delayed;Budi Santoso;Container ready for gate in;21/04/24 00.00
MS001227;SHP0123;7;Vessel Departure;23/04/24;23/04/24 12.00;Delayed;Kevin Halim;Shipment tracking updated;24/04/24 12.00
MS001228;SHP0123;8;Port Arrival;25/04/24;28/04/24 00.00;Delayed;;Clearance approval received;30/04/24 00.00
MS001229;SHP0123;9;Customs Clearance;28/04/24;28/04/24 12.00;Completed;Andi Pratama;Container accepted by terminal;28/04/24 12.00
MS001230;SHP0123;10;Delivered;29/04/24;29/04/24 02.00;Delayed;Maya Putri;Cargo loading completed;02/05/24 02.00
MS001231;SHP0124;1;Cargo Ready;10/05/24;10/05/24 12.00;delayed;Kevin Halim;Departure confirmation received;12/05/24 12.00
MS001232;SHP0124;2;Booking Confirmed;12/05/24;12/05/24 00.00;Completed;Dimas Saputra;Documentation approved;12/05/24 00.00
MS001233;SHP0124;3;Empty Container Pickup;16/05/24;16/05/24 00.00;Completed;Andi Pratama;Cargo loading completed;19/05/24 00.00
MS001234;SHP0124;4;Cargo Loading;18/05/24;18/05/24 02.00;Completed;Andi Pratama;Shipping documents verified;01/06/24 02.00
MS001235;SHP0124;5;Gate In;21/05/24;21/05/24 12.00;Delayed;Cindy Wijaya;Carrier confirmed vessel departure;24/05/24 12.00
MS001236;SHP0124;6;Documentation Complete;25/05/24;25/05/24 12.00;Delayed;Indah Permata;Clearance approval received;25/05/24 12.00
MS001237;SHP0124;7;Vessel Departure;29/05/24;29/05/24 12.00;Delayed;Cindy Wijaya;Shipment released by customs;07/06/24 12.00
MS001238;SHP0124;8;Port Arrival;31/05/24;31/05/24 00.00;Completed;Daniel Hartono;Cargo loaded successfully;01/06/24 00.00
MS001239;SHP0124;9;Customs Clearance;02/06/24;02/06/24 02.00;Completed;Maya Putri;Customer acknowledged receipt;04/06/24 02.00
MS001240;SHP0124;10;Delivered;06/06/24;06/06/24 00.00;Completed;Dimas Saputra;Sailing schedule confirmed;07/06/24 00.00
MS001241;SHP0125;1;Cargo Ready;07/06/24;07/06/24 12.00;Delayed;Fajar Nugroho;Container ready for gate in;09/06/24 12.00
MS001242;SHP0125;2;Booking Confirmed;11/06/24;11/06/24 12.00;Completed;Daniel Hartono;Customs review finalized;14/06/24 12.00
MS001243;SHP0125;3;Empty Container Pickup;13/06/24;13/06/24 00.00;Completed;Cindy Wijaya;Documentation review completed;14/06/24 00.00
MS001244;SHP0125;4;Cargo Loading;15/06/24;17/06/24 00.00;completed;Maya Putri;Carrier confirmed vessel departure;17/06/24 00.00
MS001245;SHP0125;5;Gate In;16/06/24;17/06/24 12.00;Delayed;Nadia Prasetyo;Container entered terminal yard;18/06/24 12.00
MS001246;SHP0125;6;Documentation Complete;20/06/24;20/06/24 12.00;Delayed;Sarah Amelia;Cargo ready for pickup;21/06/24 12.00
MS001247;SHP0125;7;Vessel Departure;23/06/24;23/06/24 12.00;Delayed;Indah Permata;Carrier confirmed vessel departure;06/07/24 12.00
MS001248;SHP0125;8;Port Arrival;27/06/24;27/06/24 00.00;Completed;Maya Putri;Customs declaration completed;29/06/24 00.00
MS001249;SHP0125;9;Customs Clearance;01/07/24;01/07/24 12.00;Delayed;Indah Permata;Vessel departed as scheduled;02/07/24 12.00
MS001250;SHP0125;10;Delivered;03/07/24;05/07/24 00.00;Delayed;Fajar Nugroho;Operational update recorded;08/07/24 00.00
MS001251;SHP0126;1;Cargo Ready;19/05/24;19/05/24 00.00;Completed;Kevin Halim;Proof of delivery received;22/05/24 00.00
MS001252;SHP0126;2;Booking Confirmed;21/05/24;21/05/24 12.00;Completed;Budi Santoso;Shipment tracking updated;22/05/24 12.00
MS001253;SHP0126;3;Empty Container Pickup;22/05/24;24/05/24 00.00;Delayed;Rizky Kurniawan;Carrier accepted booking request;26/05/24 00.00
MS001254;SHP0126;4;Cargo Loading;25/05/24;25/05/24 12.00;Delayed;Cindy Wijaya;Carrier schedule update received;26/05/24 12.00
MS001255;SHP0126;5;Gate In;26/05/24;28/05/24 00.00;Delayed;Indah Permata;Delivery appointment confirmed;29/05/24 00.00
MS001256;SHP0126;6;Documentation Complete;30/05/24;30/05/24 12.00;Delayed;Kevin Halim;Depot release completed;12/06/24 12.00
MS001257;SHP0126;7;Vessel Departure;31/05/24;31/05/24 00.00;completed;Andi Pratama;Container sealed after loading;01/06/24 00.00
MS001258;SHP0126;8;Port Arrival;01/06/24;01/06/24 12.00;Delayed;Fajar Nugroho;Booking confirmed by carrier;01/06/24 12.00
MS001259;SHP0126;9;Customs Clearance;05/06/24;05/06/24 04.00;Completed;Fajar Nugroho;Container stuffing completed;06/06/24 04.00
MS001260;SHP0126;10;Delivered;08/06/24;08/06/24 00.00;Completed;Rizky Kurniawan;ETA revised;08/06/24 00.00
MS001261;SHP0127;1;Cargo Ready;17/03/24;17/03/24 04.00;Delayed;Cindy Wijaya;Container received for loading;20/03/24 04.00
MS001262;SHP0127;2;Booking Confirmed;19/03/24;19/03/24 04.00;Delayed;Fajar Nugroho;Container received for loading;21/03/24 04.00
MS001263;SHP0127;3;Empty Container Pickup;23/03/24;24/03/24 00.00;Completed;Jessica Putri;Transit milestone verified;01/04/24 00.00
MS001264;SHP0127;4;Cargo Loading;24/03/24;24/03/24 00.00;Completed;Cindy Wijaya;Port arrival confirmed;24/03/24 00.00
MS001265;SHP0127;5;Gate In;26/03/24;26/03/24 12.00;Completed;Jessica Putri;Shipping documents verified;28/03/24 12.00
MS001266;SHP0127;6;Documentation Complete;27/03/24;27/03/24 12.00;Delayed;Budi Santoso;Customs clearance completed;28/03/24 12.00
MS001267;SHP0127;7;Vessel Departure;30/03/24;30/03/24 08.00;Completed;Indah Permata;Departure confirmation received;31/03/24 08.00
MS001268;SHP0127;8;Port Arrival;03/04/24;03/04/24 12.00;Delayed;Budi Santoso;AFR submitted successfully;04/04/24 12.00
MS001269;SHP0127;9;Customs Clearance;06/04/24;06/04/24 12.00;Completed;Cindy Wijaya;Shipping documents verified;07/04/24 12.00
MS001270;SHP0127;10;Delivered;10/04/24;10/04/24 12.00;Delayed;Indah Permata;Container stuffing completed;17/04/24 12.00
MS001271;SHP0128;1;Cargo Ready;28/01/24;28/01/24 08.00;completed;Cindy Wijaya;Clearance approval received;08/02/24 08.00
MS001272;SHP0128;2;Booking Confirmed;29/01/24;29/01/24 12.00;Completed;Fajar Nugroho;Carrier  confirmed vessel arrival;30/01/24 12.00
MS001273;SHP0128;3;Empty Container Pickup;01/02/24;01/02/24 08.00;Completed;Jessica Putri;Proof of delivery received;01/02/24 08.00
MS001274;SHP0128;4;Cargo Loading;02/02/24;02/02/24 00.00;Completed;Indah Permata;Operational note variation 79;02/02/24 00.00
MS001275;SHP0128;5;Gate In;03/02/24;03/02/24 04.00;delayed;Maya Putri;Depot release completed;05/02/24 04.00
MS001276;SHP0128;6;Documentation Complete;07/02/24;07/02/24 12.00;Completed;Rafi Kurnia;Empty container collected from depot;07/02/24 12.00
MS001277;SHP0128;7;Vessel Departure;09/02/24;09/02/24 12.00;Completed;Rizky Kurniawan;Arrival notice received;10/02/24 12.00
